patient	well_fov	input_subparent_name	mask_subparent_name
NF0014_T1	C4-2	convolution_75	convolution_75_segmentation_masks
NF0014_T1	C4-2	convolution_100	convolution_100_segmentation_masks
NF0014_T1	C4-2	deconvolved_images	deconvolved_segmentation_masks
NF0014_T1	G5-2	zstack_images	segmentation_masks
NF0014_T1	E7-1	zstack_images	segmentation_masks
NF0014_T1	F8-2	zstack_images	segmentation_masks
NF0014_T1	C7-2	zstack_images	segmentation_masks
NF0014_T1	G11-1	zstack_images	segmentation_masks
NF0014_T1	E10-1	zstack_images	segmentation_masks
NF0014_T1	E9-1	zstack_images	segmentation_masks
NF0014_T1	E2-1	zstack_images	segmentation_masks
NF0014_T1	E4-1	zstack_images	segmentation_masks
NF0014_T1	E4-2	zstack_images	segmentation_masks
NF0014_T1	D10-2	zstack_images	segmentation_masks
NF0014_T1	D9-3	zstack_images	segmentation_masks
NF0014_T1	D4-2	zstack_images	segmentation_masks
NF0014_T1	D8-1	zstack_images	segmentation_masks
NF0014_T1	F7-1	zstack_images	segmentation_masks
NF0014_T1	D2-1	zstack_images	segmentation_masks
NF0014_T1	C11-2	zstack_images	segmentation_masks
NF0014_T1	D11-3	zstack_images	segmentation_masks
NF0014_T2	C11-4	zstack_images	segmentation_masks
NF0014_T2	D11-5	zstack_images	segmentation_masks
NF0014_T2	G2-5	zstack_images	segmentation_masks
NF0014_T2	C6-6	zstack_images	segmentation_masks
NF0014_T2	E5-2	zstack_images	segmentation_masks
NF0014_T2	D5-2	zstack_images	segmentation_masks
NF0014_T2	G6-1	zstack_images	segmentation_masks
NF0014_T2	F5-7	zstack_images	segmentation_masks
NF0014_T2	C6-7	zstack_images	segmentation_masks
NF0014_T2	C10-7	zstack_images	segmentation_masks
NF0014_T2	D2-5	zstack_images	segmentation_masks
NF0014_T2	G6-6	zstack_images	segmentation_masks
NF0014_T2	G8-1	zstack_images	segmentation_masks
NF0014_T2	E3-6	zstack_images	segmentation_masks
NF0014_T2	F5-4	zstack_images	segmentation_masks
NF0014_T2	D9-6	zstack_images	segmentation_masks
NF0014_T2	D10-5	zstack_images	segmentation_masks
NF0014_T2	C10-4	zstack_images	segmentation_masks
NF0014_T2	F2-7	zstack_images	segmentation_masks
NF0014_T2	C9-2	zstack_images	segmentation_masks
NF0014_T2	E2-7	zstack_images	segmentation_masks
NF0014_T2	D3-4	zstack_images	segmentation_masks
NF0014_T2	G2-3	zstack_images	segmentation_masks
NF0014_T2	C6-5	zstack_images	segmentation_masks
NF0014_T2	G5-6	zstack_images	segmentation_masks
NF0014_T2	C4-7	zstack_images	segmentation_masks
NF0014_T2	E8-6	zstack_images	segmentation_masks
NF0014_T2	F4-2	zstack_images	segmentation_masks
NF0014_T2	C9-6	zstack_images	segmentation_masks
NF0014_T2	D9-1	zstack_images	segmentation_masks
NF0014_T2	E2-2	zstack_images	segmentation_masks
NF0014_T2	G4-4	zstack_images	segmentation_masks
NF0014_T2	E2-3	zstack_images	segmentation_masks
NF0014_T2	C5-2	zstack_images	segmentation_masks
NF0014_T2	C8-6	zstack_images	segmentation_masks
NF0014_T2	C11-3	zstack_images	segmentation_masks
NF0014_T2	D6-7	zstack_images	segmentation_masks
NF0014_T2	D3-3	zstack_images	segmentation_masks
NF0014_T2	F4-6	zstack_images	segmentation_masks
NF0014_T2	E10-2	zstack_images	segmentation_masks
NF0014_T2	C6-1	zstack_images	segmentation_masks
NF0014_T2	E6-3	zstack_images	segmentation_masks
NF0014_T2	G11-3	zstack_images	segmentation_masks
NF0014_T2	D3-1	zstack_images	segmentation_masks
NF0014_T2	F10-3	zstack_images	segmentation_masks
NF0014_T2	G9-1	zstack_images	segmentation_masks
NF0014_T2	F11-2	zstack_images	segmentation_masks
NF0014_T2	C3-2	zstack_images	segmentation_masks
NF0014_T2	C4-3	zstack_images	segmentation_masks
NF0014_T2	E3-1	zstack_images	segmentation_masks
NF0014_T2	G6-7	zstack_images	segmentation_masks
NF0014_T2	G2-6	zstack_images	segmentation_masks
NF0014_T2	E9-3	zstack_images	segmentation_masks
NF0014_T2	G8-5	zstack_images	segmentation_masks
NF0014_T2	D2-2	zstack_images	segmentation_masks
NF0014_T2	G3-7	zstack_images	segmentation_masks
NF0014_T2	G6-2	zstack_images	segmentation_masks
NF0014_T2	C7-6	zstack_images	segmentation_masks
NF0014_T2	G11-2	zstack_images	segmentation_masks
NF0014_T2	E6-2	zstack_images	segmentation_masks
NF0014_T2	F2-1	zstack_images	segmentation_masks
NF0014_T2	G8-6	zstack_images	segmentation_masks
NF0014_T2	F3-2	zstack_images	segmentation_masks
NF0014_T2	C3-7	zstack_images	segmentation_masks
NF0014_T2	D6-1	zstack_images	segmentation_masks
NF0014_T2	G7-7	zstack_images	segmentation_masks
NF0014_T2	C3-5	zstack_images	segmentation_masks
NF0014_T2	F11-6	zstack_images	segmentation_masks
NF0014_T2	C6-2	zstack_images	segmentation_masks
NF0014_T2	E7-6	zstack_images	segmentation_masks
NF0014_T2	E2-4	zstack_images	segmentation_masks
NF0014_T2	C8-3	zstack_images	segmentation_masks
NF0014_T2	C5-5	zstack_images	segmentation_masks
NF0014_T2	F7-3	zstack_images	segmentation_masks
NF0014_T2	F9-2	zstack_images	segmentation_masks
NF0014_T2	G7-3	zstack_images	segmentation_masks
NF0014_T2	C4-4	zstack_images	segmentation_masks
NF0014_T2	F3-1	zstack_images	segmentation_masks
NF0014_T2	D3-7	zstack_images	segmentation_masks
NF0014_T2	G11-7	zstack_images	segmentation_masks
NF0014_T2	E11-1	zstack_images	segmentation_masks
NF0014_T2	D3-6	zstack_images	segmentation_masks
NF0014_T2	D7-7	zstack_images	segmentation_masks
NF0014_T2	G3-4	zstack_images	segmentation_masks
NF0014_T2	E7-7	zstack_images	segmentation_masks
NF0014_T2	C2-6	zstack_images	segmentation_masks
NF0014_T2	E11-6	zstack_images	segmentation_masks
NF0014_T2	D6-6	zstack_images	segmentation_masks
NF0014_T2	F4-1	zstack_images	segmentation_masks
NF0014_T2	F3-7	zstack_images	segmentation_masks
NF0014_T2	E4-3	zstack_images	segmentation_masks
NF0014_T2	E7-4	zstack_images	segmentation_masks
NF0014_T2	C7-5	zstack_images	segmentation_masks
NF0014_T2	F11-7	zstack_images	segmentation_masks
NF0014_T2	F2-5	zstack_images	segmentation_masks
NF0014_T2	D7-1	zstack_images	segmentation_masks
NF0014_T2	F6-5	zstack_images	segmentation_masks
NF0014_T2	F10-2	zstack_images	segmentation_masks
NF0014_T2	D6-2	zstack_images	segmentation_masks
NF0014_T2	G8-4	zstack_images	segmentation_masks
NF0014_T2	D2-3	zstack_images	segmentation_masks
NF0014_T2	C3-1	zstack_images	segmentation_masks
NF0014_T2	F6-7	zstack_images	segmentation_masks
NF0014_T2	G10-3	zstack_images	segmentation_masks
NF0014_T2	F4-4	zstack_images	segmentation_masks
NF0014_T2	D5-7	zstack_images	segmentation_masks
NF0014_T2	F8-6	zstack_images	segmentation_masks
NF0014_T2	G5-7	zstack_images	segmentation_masks
NF0014_T2	C2-1	zstack_images	segmentation_masks
NF0014_T2	D2-6	zstack_images	segmentation_masks
NF0014_T2	C5-3	zstack_images	segmentation_masks
NF0014_T2	C3-3	zstack_images	segmentation_masks
NF0014_T2	E4-6	zstack_images	segmentation_masks
NF0014_T2	G5-3	zstack_images	segmentation_masks
NF0014_T2	E7-3	zstack_images	segmentation_masks
NF0014_T2	C2-2	zstack_images	segmentation_masks
NF0014_T2	G2-2	zstack_images	segmentation_masks
NF0014_T2	E2-6	zstack_images	segmentation_masks
NF0014_T2	G6-4	zstack_images	segmentation_masks
NF0014_T2	D8-3	zstack_images	segmentation_masks
NF0014_T2	F8-4	zstack_images	segmentation_masks
NF0014_T2	E5-7	zstack_images	segmentation_masks
NF0014_T2	C7-3	zstack_images	segmentation_masks
NF0014_T2	E4-7	zstack_images	segmentation_masks
NF0014_T2	E8-2	zstack_images	segmentation_masks
NF0014_T2	D7-2	zstack_images	segmentation_masks
NF0014_T2	F7-7	zstack_images	segmentation_masks
NF0014_T2	E3-7	zstack_images	segmentation_masks
NF0014_T2	D4-3	zstack_images	segmentation_masks
NF0014_T2	C11-7	zstack_images	segmentation_masks
NF0014_T2	G8-2	zstack_images	segmentation_masks
NF0014_T2	C5-6	zstack_images	segmentation_masks
NF0014_T2	C11-5	zstack_images	segmentation_masks
NF0014_T2	G3-3	zstack_images	segmentation_masks
NF0014_T2	F2-6	zstack_images	segmentation_masks
NF0014_T2	G9-6	zstack_images	segmentation_masks
NF0014_T2	E6-5	zstack_images	segmentation_masks
NF0014_T2	F2-2	zstack_images	segmentation_masks
NF0014_T2	F8-1	zstack_images	segmentation_masks
NF0014_T2	F9-3	zstack_images	segmentation_masks
NF0014_T2	G4-6	zstack_images	segmentation_masks
NF0014_T2	G6-3	zstack_images	segmentation_masks
NF0014_T2	F6-3	zstack_images	segmentation_masks
NF0014_T2	G4-2	zstack_images	segmentation_masks
NF0014_T2	D10-4	zstack_images	segmentation_masks
NF0014_T2	E10-5	zstack_images	segmentation_masks
NF0014_T2	E2-5	zstack_images	segmentation_masks
NF0014_T2	G7-2	zstack_images	segmentation_masks
NF0014_T2	C9-5	zstack_images	segmentation_masks
NF0014_T2	C10-6	zstack_images	segmentation_masks
NF0014_T2	G3-6	zstack_images	segmentation_masks
NF0014_T2	C10-5	zstack_images	segmentation_masks
NF0014_T2	D10-7	zstack_images	segmentation_masks
